Номенклатура,"Arrow 16"" V020","Arrow 14"" V020","Flyte Lady 18"" Z011","Flyte Lady 16"" Z011","Flyte Lady 14"" Z011","Jolly 14"" V010","Jolly 16"" V010","Jet 18"" Z010","Jet 16"" Z010","Jet 14"" Z010","ECHO 16"" ","Fortune 16""","Talisman 14"" Z010","Talisman 16"" Z010","Talisman 18"" Z010","Pilot-190 16"" V030","Pilot-190 18"" V030","Pilot 170 16"" ","Pilot 170 18"" ","Pilot 150 16"" ","Pilot 150 18"" ","Trail-3 12"" V020","Trail-5 16""/12"" V010"
Пол,Мужской (унисекс),Мужской (унисекс),Женский,Женский,Женский,Женский,Женский,Мужской (унисекс),Мужской (унисекс),Мужской (унисекс),Женский,Мужской (унисекс),Мужской (унисекс),Мужской (унисекс),Мужской (унисекс),Женский,Женский,Мужской (унисекс),Мужской (унисекс),Мужской (унисекс),Мужской (унисекс),Мужской (унисекс),Мужской (унисекс)
Амортизация,Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий),Ригид (жесткий)
Категория,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские,Детские
Вид велосипеда,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Самокат,Самокат
Возраст ребенка (рост),4-6 лет (до 125 см),3-5 лет (до 110 см),6-9 лет (до 130 см),4-6 лет (до 120 см),3-5 лет (до 110 см),3-5 лет (до 110 см),4-6 лет (до 120 см),6-9 лет (до 130 см),4-6 лет (до 120 см),3-5 лет (до 110 см),4-6 лет (до 120 см),4-6 лет (до 120 см),3-5 лет (до 110 см),4-6 лет (до 120 см),6-9 лет (до 130 см),4-6 лет (до 120 см),6-9 лет (до 130 см),6-9 лет (до 130 см),6-9 лет (до 130 см),4-6 лет (до 120 см),6-9 лет (до 130 см),-,-
Цвета для каталога,Белый/зелёный; Белый/красный,Белый/синий,"Сиреневый
Розовый
Морская волна","Сиреневый
Розовый
Морская волна","Сиреневый
Розовый
Морская волна",Фиолетовый,"Синий
Мятный",Черный/Красный                       Красный/Желтый               Фиолетовый/Розовый,Черный/Красный                       Красный/Желтый               Фиолетовый/Розовый,Черный/Красный                       Красный/Желтый               Фиолетовый/Розовый,Белый/розовый,Хаки,"Синий/Красный/Белый                Коричневый/Оранжевый/Зеленый
Морская-волна/Зеленый/Белый                                 ","Синий/Красный/Белый                Коричневый/Оранжевый/Зеленый
Морская волна/Зеленый/Белый                                 ","Синий/Красный/Белый                Коричневый/Оранжевый/Зеленый
Морская-волна/Зеленый/Белый                                 ",Белый/розовый/голубой; Зелёный/жёлтый/белый; Фиолетовый/розовый/белый,Зелёный/жёлтый/белый; Красный/жёлтый/белый,Салатовый/чёрный; Красный/белый,Синий/чёрный; Оранжевый/чёрный,Розовый/фиолетовый; Синий/голубой,Синий/чёрный; Чёрный/красный,"Красный/белый
Розовый/зеленый
Черный/синий","Синий
Черный/зеленый"
Диаметр колес,"16""","14""","18""","16""","14""","14""","16""","18""","16""","14""","16""","16""","14""","16""","18""","16""","18""","16""","18""","16""","18""","12""","16""/12"""
Размер рамы велосипеда,"9.5""","8.5""","12""","11""","9.5""","9.5""","9.5""","10""","9""","8.5""","9.5""","10""","9.5""","11""","12""","8.5""",9,"9.5""","10.5""","9""","9""",-,-
Рама (материал),Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Сталь,Алюминий,Алюминий,Магний/Алюминий,Магний/Алюминий,Алюминий X6,Алюминий X6,Сталь,Сталь
Количество скоростей,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Вилка передняя,"Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, магний/алюминий","Жесткая, магний/алюминий","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь","Жесткая, сталь"
Тип тормозов,Передний ободной/Задний ножной,Передний ободной/Задний ножной,Ножной,Ножной,Ножной,Ножной,Ножной,Передний ободной/Задний ножной,Передний ободной/Задний ножной,Передний ободной/Задний ножной,Ножной,Передний ободной/Задний ножной,Ножной,Ножной,Ножной,Передний ободной/Задний ножной,Передний ободной/Задний ножной,Дисковые механические,Дисковые механические,Передний ободной/Задний ленточный,Передний ободной/Задний ленточный,Передний ободной/Задний ножной,Передний ободной/Задний ножной
Тормоза,Передний ободной (V-типа) / Задний ножной,Передний ободной (V-типа) / Задний ножной,Ножной,Ножной,Ножной,Ножной,Ножной,Передний ободной (U-типа) / Задний ножной,Передний ободной (U-типа) / Задний ножной,Передний ободной (U-типа) / Задний ножной,Ножной,Передний ободной (V-типа) / Задний ножной,Ножной,Ножной,Ножной,Передний ободной (V-типа) / Задний ножной,Передний ободной (V-типа) / Задний ножной,"Дисковые механические, ротор 120мм","Дисковые механические, ротор 120мм",Передний ободной (V-типа) / Задний ленточный,Передний ободной (V-типа) / Задний ленточный,Передний ободной (V-типа) / Задний ножной,Передний ободной (V-типа) / Задний ножной
Обод,"Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный",Сталь,Сталь,"Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный","Алюминий, одинарный",Алюминий,Алюминий,Магний/Алюминий,Магний/Алюминий,Алюминий,Алюминий,Алюминий,Алюминий
Покрышки,16х2.125,14х2.125,18х1.95,16x1.75,14х1.75,14х2.125,16х2.125,18х1.75,16x1.75,14х1.75,16х2.125,16х2.125,14х2.1,16х2.1,18х1.75,16х1.95,18х1.95,16х2.125,18х2.125,16х2.125,18х2.125,12х2.0,16х2.0/12х2.0
Крылья,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Нет,Есть,Есть,Есть,Есть
Корзина,Нет,-,Нет,Есть,Есть,Есть,Есть,Нет,Нет,Нет,Есть,Нет,Нет,Нет,Нет,Есть,Есть,Нет,Нет,Нет,Нет,Нет,Нет
Дополнительные колеса,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Есть,Нет,Нет
Багажник,Нет,Нет,Есть,Есть,Есть,Есть,Есть,Нет,Нет,Нет,Нет,Нет,Есть,Есть,Есть,Есть,Есть,Нет,Нет,Нет,Нет,Нет,Нет
Вес велосипеда,10.3,11.2,12.6,11.5,10.7,10.5,11.3,11.3,10.5,9.9,11.2,11.2,10.4,11.1,11.7,10.44,10.7,10.02,10.42,9.68,10.18,9.1,10
Розничная цена,,,,,,,,,,,,,,,,,,,,,,,
Возраст,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский,Детский
